time,open,high,low,close,EMA,EMA,EMA,EMA,Volume,Volume MA,EMA,EMA,EMA,EMA,Histogram,MACD,Signal,MF,RSI
2020-08-18T23:00:00Z,2.09,4.44,2,3.1,NaN,NaN,NaN,NaN,6039881.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-19T00:00:00Z,3.1,3.14,2.9738,3.105,NaN,NaN,NaN,NaN,1554670.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-19T01:00:00Z,3.105,3.1299,3.0584,3.1063,NaN,NaN,NaN,NaN,813079.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-19T02:00:00Z,3.1082,3.1124,2.9,2.9628,NaN,NaN,NaN,NaN,1472769.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-19T03:00:00Z,2.9631,3.0032,2.64,2.885,NaN,NaN,NaN,NaN,1768853.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-19T04:00:00Z,2.885,3.068,2.811,2.9336,NaN,NaN,NaN,NaN,1328188.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-19T05:00:00Z,2.9334,3.0755,2.875,2.9255,NaN,NaN,NaN,NaN,798876.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-19T06:00:00Z,2.9255,3.04,2.9,3.0095,NaN,NaN,NaN,NaN,534111.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-19T07:00:00Z,3.0095,3.1999,2.9911,3.195,NaN,NaN,NaN,3.0247444444444445,1717178.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-19T08:00:00Z,3.195,3.195,3.01,3.0362,NaN,NaN,NaN,3.0270355555555555,682238.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-19T09:00:00Z,3.0361,3.13,3.0102,3.0401,NaN,NaN,NaN,3.0296484444444443,473679.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-19T10:00:00Z,3.0497,3.09,2.9,3.0014,NaN,NaN,NaN,3.023998755555555,495485.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-19T11:00:00Z,3.0006,3.01,2.93,3,NaN,NaN,3.023107692307692,3.0191990044444443,309270.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-19T12:00:00Z,3,3.0006,2.9,2.9897,NaN,NaN,3.0183351648351646,3.0132992035555555,429332.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.235841813539686,NaN
2020-08-19T13:00:00Z,2.9898,3.0078,2.9011,2.9354,NaN,NaN,3.006487284144427,2.9977193628444443,589033.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.458984038014215,39.978080857282016
2020-08-19T14:00:00Z,2.9431,3.008,2.9353,2.9934,NaN,NaN,3.0046176721237945,2.9968554902755553,344814.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.692048345011145,44.22072495560429
