time,open,high,low,close,EMA,EMA,EMA,EMA,Volume,Volume MA,EMA,EMA,EMA,EMA,Histogram,MACD,Signal,MF,RSI
2020-08-01T00:00:00Z,2.09,6.8,2,6.2718,NaN,NaN,NaN,NaN,320147840.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-09-01T00:00:00Z,6.2712,6.8619,3.5321,4.3458,NaN,NaN,NaN,NaN,372190799.54000014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-10-01T00:00:00Z,4.3459,4.95,3.6,4.1854,NaN,NaN,NaN,NaN,187625339.45999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-11-01T00:00:00Z,4.1833,6.0857,3.8842,5.3767,NaN,NaN,NaN,NaN,268356318.29000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-12-01T00:00:00Z,5.378,9.51,4.54,9.2619,NaN,NaN,NaN,NaN,302663673.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-01T00:00:00Z,9.262,19.4,7.1642,16.1128,NaN,NaN,NaN,NaN,908860737.0500001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-02-01T00:00:00Z,16.1153,21.7321,15.5807,20.2979,NaN,NaN,NaN,NaN,111545948.91999991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
