time,open,high,low,close,EMA,EMA,EMA,EMA,EMA,EMA,EMA,EMA,Volume,Volume MA,Histogram,MACD,Signal,MF,RSI
2014-04-01T00:00:00Z,35662381.535466194,45431029.12833595,32789069.856024742,37307410.05473328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36892334.65690509,NaN,NaN,NaN,NaN,NaN,NaN
2014-04-02T00:00:00Z,40149226.72849369,41832714.50641632,30791592.488001823,36781306.35994339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36892334.65690509,NaN,NaN,NaN,NaN,NaN,NaN
2014-04-03T00:00:00Z,36722135.888970375,40012032.19652271,26585175.49099922,34281832.60727215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36892334.65690509,NaN,NaN,NaN,NaN,NaN,NaN
2014-04-04T00:00:00Z,33684209.932557106,35816723.63140869,30103016.112070084,33733182.42283726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36892334.65690509,NaN,NaN,NaN,NaN,NaN,NaN
2014-04-05T00:00:00Z,31776143.11209011,38795550.10929394,30005972.664883614,31696027.222473145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36892334.65690509,NaN,NaN,NaN,NaN,NaN,NaN
2014-04-06T00:00:00Z,32706732.373646736,35380549.94485378,31645110.407069206,32997323.38035965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28089862.711450428,NaN,NaN,NaN,NaN,NaN,NaN
2014-04-07T00:00:00Z,33885734.23131943,34823873.130693436,31474774.308955193,33098903.280903816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28089862.711450428,NaN,NaN,NaN,NaN,NaN,NaN
2014-04-08T00:00:00Z,33098903.280903816,34767943.096349716,31072632.70299816,33001486.95758438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28089862.711450428,NaN,NaN,NaN,NaN,NaN,NaN
2014-04-09T00:00:00Z,32928389.060126305,34233964.66268921,23481832.822494507,32152738.359924316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33894467.84955904,28089862.711450428,NaN,NaN,NaN,NaN,NaN,NaN
2014-04-10T00:00:00Z,32118049.96210289,32208772.960876465,3946862.179338455,24619480.52837658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32039470.38532255,28089862.711450428,NaN,NaN,NaN,NaN,NaN,NaN
2014-04-11T00:00:00Z,25842613.23947811,33059487.183073044,22791443.008344173,32221189.263397217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32075814.16093748,28089862.711450428,NaN,NaN,NaN,NaN,NaN,NaN
2014-04-12T00:00:00Z,32204554.026996613,34700393.566082954,29458364.476576805,30814451.35688591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31823541.600127168,28089862.711450428,NaN,NaN,NaN,NaN,NaN,NaN
2014-04-13T00:00:00Z,31884175.00162983,33708735.88142872,26408724.70539379,29766217.8045578,NaN,NaN,NaN,NaN,NaN,NaN,32497811.507634528,31412076.841013294,33233544.00976778,NaN,NaN,NaN,NaN,NaN,NaN
2014-04-14T00:00:00Z,29765519.46700859,36342102.74133682,26561455.839665413,35015389.93037987,NaN,NaN,NaN,NaN,NaN,NaN,32857465.568026718,32132739.45888661,33233544.00976778,NaN,NaN,NaN,NaN,34.33901775194927,NaN
2014-04-15T00:00:00Z,33844448.15358257,48924751.9804039,33005992.404800415,41260312.03983593,NaN,NaN,NaN,NaN,NaN,NaN,34057872.20685661,33958253.975076474,33233544.00976778,NaN,NaN,NaN,NaN,37.469440451605024,55.335348935049474
2014-04-16T00:00:00Z,45717380.10786915,60599574.860526085,38939546.84599304,47412223.2957325,NaN,NaN,NaN,NaN,NaN,NaN,35965636.64812459,36649047.83920768,33233544.00976778,NaN,NaN,NaN,NaN,47.82913719328708,62.11144514510458
2014-04-17T00:00:00Z,52170731.61748791,65740394.65001583,42729059.20890045,46501838.24293518,NaN,NaN,NaN,NaN,NaN,NaN,37470808.304526106,38619605.91995318,33233544.00976778,NaN,NaN,NaN,NaN,57.64560407828447,60.645182845983854
2014-04-18T00:00:00Z,47517323.541713715,53761152.69577408,40714526.483221054,43634580.96922302,NaN,NaN,NaN,NaN,NaN,NaN,38351347.25662567,39622600.92980715,33233544.00976778,NaN,NaN,NaN,NaN,56.51119774604444,56.14934195789674
2014-04-19T00:00:00Z,43727763.38557911,52970026.385066986,42392529.053915024,50494877.78548622,NaN,NaN,NaN,NaN,NaN,NaN,40086137.33217718,41797056.300942965,33233544.00976778,NaN,NaN,NaN,NaN,57.553444470187216,63.18222083480783
2014-04-20T00:00:00Z,50702240.62961292,52266584.19517803,46779526.19926739,50072016.55532551,NaN,NaN,NaN,NaN,NaN,NaN,41512691.506912656,43452048.35181947,43914884.133869685,32882020.223346133,NaN,NaN,NaN,66.12443287965817,62.516652905474466
2014-04-21T00:00:00Z,48366368.90993881,51710791.27255249,45436493.33126831,46581510.526638985,NaN,NaN,NaN,NaN,NaN,37306871.3783241,42236808.509730704,44077940.786783375,43914884.133869685,33233147.69719436,NaN,NaN,NaN,61.87859650345083,57.16370433098068
2014-04-22T00:00:00Z,46575859.24391937,54369697.41846371,44809547.53345394,45472946.43701458,NaN,NaN,NaN,NaN,NaN,38049241.838205054,42699113.92791411,44356941.916829616,43914884.133869685,33584275.17104259,NaN,NaN,NaN,68.96793661458187,55.53726110449513
2014-04-23T00:00:00Z,45039343.46822357,48016169.35740471,41826614.84570122,45216693.503736496,NaN,NaN,NaN,NaN,NaN,38700828.353253365,43058768.153031595,44528892.23421099,43914884.133869685,33935402.64489082,NaN,NaN,NaN,65.16603816681113,55.1466626669275
2014-04-24T00:00:00Z,45485559.921598434,47786062.00827885,41660719.782167435,44889071.42521858,NaN,NaN,NaN,NaN,NaN,39263395.9052502,43320240.04905831,44600928.072412506,43914884.133869685,34286530.11873905,NaN,NaN,NaN,61.026300232894826,54.61776823715474
2014-04-25T00:00:00Z,45223611.07170391,52897318.05611324,36046591.45994091,42615023.24501705,NaN,NaN,NaN,NaN,NaN,39568089.29977446,43219494.79133813,44203747.106933415,43914884.133869685,34637657.59258728,NaN,NaN,NaN,54.54688036627166,50.96412989808367
2014-04-26T00:00:00Z,43836964.14890194,48152049.721515656,37839318.31378555,40647661.6125021,NaN,NaN,NaN,NaN,NaN,39666232.23729516,42852090.05150441,43492530.00804715,43914884.133869685,35428908.66370824,NaN,4486726.2380770445,NaN,48.66488457849033,47.97415100565252
2014-04-27T00:00:00Z,43176698.48811531,46147368.48043728,38038375.49655151,41818375.47665024,NaN,NaN,NaN,NaN,NaN,39861881.62269107,42704416.54081096,43157699.10176776,22314455.32365056,35140138.294318244,NaN,4057229.6617050245,NaN,48.78344300763039,49.85929777371539
2014-04-28T00:00:00Z,40138976.98732948,47617340.720145226,38760073.694065094,42083335.6086874,NaN,NaN,NaN,NaN,NaN,40063831.985054374,42615690.69336473,42942826.40315169,22314455.32365056,34851367.924928255,NaN,3695629.6803600565,NaN,48.50624108012372,50.298244860071684
2014-04-29T00:00:00Z,45046915.56306839,47822845.24954033,39793094.49929905,45160315.153081894,NaN,NaN,NaN,NaN,NaN,40527148.63669324,42979208.47332433,43386324.15313773,22314455.32365056,34562597.55553826,NaN,3615666.4713906497,NaN,47.67990244692251,55.202817993879414
2014-04-30T00:00:00Z,43447600.14600372,47278157.01954174,40501175.1835928,43473051.11010647,NaN,NaN,NaN,NaN,NaN,40794957.952458076,43049757.421436064,43403669.54453148,22314455.32365056,34273827.18614827,NaN,3377216.495449163,NaN,41.91441620325447,52.163082050466706
