time,open,high,low,close,EMA,EMA,EMA,EMA,EMA,EMA,EMA,EMA,Volume,Volume MA,Histogram,MACD,Signal,MF,RSI
2020-07-01T00:00:00Z,93593882023,93628882023,93133083243.6,93411158805.57999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,274619515703.9996,NaN,NaN,NaN,NaN,NaN,NaN
2020-07-01T01:00:00Z,93405224238.73999,93524603830.82,93208463494.84,93439921703.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,274619515703.9996,NaN,NaN,NaN,NaN,NaN,NaN
2020-07-01T02:00:00Z,93444921703.28,93694263129.18,93383177020.63998,93603106137.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,274619515703.9996,NaN,NaN,NaN,NaN,NaN,NaN
2020-07-01T03:00:00Z,93608483752.48001,93794745661.44,93418966043.32,93617981445.42001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,274619515703.9996,NaN,NaN,NaN,NaN,NaN,NaN
2020-07-01T04:00:00Z,93576165638.6,93813976654.98001,93576165638.6,93704555777.23999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,274619515703.9996,NaN,NaN,NaN,NaN,NaN,NaN
2020-07-01T05:00:00Z,93700555777.23999,93830248209.92001,93605710967.38,93743803184.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,274619515703.9996,NaN,NaN,NaN,NaN,NaN,NaN
2020-07-01T06:00:00Z,93754132504.28,93820218129.98001,93365935545.63998,93495874308.86002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,274619515703.9996,NaN,NaN,NaN,NaN,NaN,NaN
2020-07-01T07:00:00Z,93522225798.48001,93698384108.1,93465893842.23999,93540159047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,274619515703.9996,NaN,NaN,NaN,NaN,NaN,NaN
2020-07-01T08:00:00Z,93544159047,94365672624.88,93507735114.88,94142992474.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93633283653.86223,274619515703.9996,NaN,NaN,NaN,NaN,NaN,NaN
2020-07-01T09:00:00Z,94118669087.66,94280330122.07999,94047717141.23999,94158556018.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93738338126.82178,274619515703.9996,NaN,NaN,NaN,NaN,NaN,NaN
2020-07-01T10:00:00Z,94155110575.68,94267574475.13998,94007513832.42001,94063425811.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93803355663.75742,274619515703.9996,NaN,NaN,NaN,NaN,NaN,NaN
2020-07-01T11:00:00Z,94061442708.23999,94141028245.78,93887712285.69998,94123001461.63998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93867284823.33392,274619515703.9996,NaN,NaN,NaN,NaN,NaN,NaN
2020-07-01T12:00:00Z,94166597062.9,94292752076.72,93916240058.57999,94266592690.19998,NaN,NaN,NaN,NaN,NaN,NaN,93793163758.98154,93947146396.70714,274619515703.9996,NaN,NaN,NaN,NaN,NaN,NaN
