time,open,high,low,close,EMA,EMA,EMA,EMA,Volume,Volume MA,EMA,EMA,EMA,EMA,Histogram,MACD,Signal,MF,RSI
2020-12-17T20:00:00Z,0.03,0.147,0.03,0.1062,NaN,NaN,NaN,NaN,94371186.69999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-12-17T21:00:00Z,0.10631,0.11868,0.097,0.11787,NaN,NaN,NaN,NaN,68984792.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-12-17T22:00:00Z,0.11786,0.13891,0.11577,0.12846,NaN,NaN,NaN,NaN,78922534.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-12-17T23:00:00Z,0.12892,0.13371,0.11711,0.12275,NaN,NaN,NaN,NaN,39111203.90000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-12-18T00:00:00Z,0.12253,0.14622,0.12253,0.14035,NaN,NaN,NaN,NaN,83746362.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-12-18T01:00:00Z,0.14033,0.14033,0.1283,0.13591,NaN,NaN,NaN,NaN,40661008.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-12-18T02:00:00Z,0.13593,0.136,0.12362,0.12674,NaN,NaN,NaN,NaN,29018674.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-12-18T03:00:00Z,0.12674,0.14619,0.12671,0.14169,NaN,NaN,NaN,NaN,59864008.59999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-12-18T04:00:00Z,0.1416,0.173,0.14122,0.16899,NaN,NaN,NaN,0.13210666666666668,93999814.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-12-18T05:00:00Z,0.1682,0.194,0.1632,0.17216,NaN,NaN,NaN,0.14011733333333334,110832143.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-12-18T06:00:00Z,0.17201,0.19748,0.17,0.19608,NaN,NaN,NaN,0.15130986666666668,69147471.10000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
