time,open,high,low,close,EMA,EMA,EMA,EMA,Volume,Volume MA,EMA,EMA,EMA,EMA,Histogram,MACD,Signal,MF,RSI
2019-01-01T00:00:00Z,0.5355,0.5656,0.3504,0.3832,NaN,NaN,NaN,NaN,28767659.310000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-02-01T00:00:00Z,0.3832,0.4844,0.38,0.4244,NaN,NaN,NaN,NaN,35931706.73000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-03-01T00:00:00Z,0.4244,0.546,0.3929,0.5084,NaN,NaN,NaN,NaN,39939101.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-01T00:00:00Z,0.5084,0.6073,0.424,0.4727,NaN,NaN,NaN,NaN,37769551.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-01T00:00:00Z,0.4727,1.474,0.46,1.0189,NaN,NaN,NaN,NaN,131327479.69999996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-06-01T00:00:00Z,1.0236,4.5826,0.8368,3.3885,NaN,NaN,NaN,NaN,357140480.86000013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-07-01T00:00:00Z,3.3885,3.9914,1.9694,2.2102,NaN,NaN,NaN,NaN,248243935.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-08-01T00:00:00Z,2.2169,2.7342,1.7253,1.7791,NaN,NaN,NaN,NaN,122060935.54999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-01T00:00:00Z,1.7788,2.0657,1.4612,1.7677,NaN,NaN,NaN,1.3281222222222222,133080805.32999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-10-01T00:00:00Z,1.7677,3.0063,1.7522,2.7219,NaN,NaN,NaN,1.6068777777777778,271486607.58000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-11-01T00:00:00Z,2.7233,3.16,2.02,2.2373,NaN,NaN,NaN,1.7329622222222223,128088558.87000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-12-01T00:00:00Z,2.236,2.3042,1.5996,1.7673,NaN,NaN,NaN,1.7398297777777778,109976717.80000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-01-01T00:00:00Z,1.7678,2.9482,1.7013,2.8259,NaN,NaN,1.6542692307692306,1.9570438222222222,132731652.24999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-02-01T00:00:00Z,2.8258,4.8671,2.6751,4.0579,NaN,NaN,1.9976450549450548,2.3772150577777778,308315742.7199999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.62584364864057,NaN
2020-03-01T00:00:00Z,4.06,4.9762,1.36,2.2658,NaN,NaN,2.0359529042386186,2.3549320462222223,687632764.9200002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.162402535196634,58.80624941528674
2020-04-01T00:00:00Z,2.2657,3.9918,2.14,3.7025,NaN,NaN,2.274031060775959,2.6244456369777778,520811524.06000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.3220065553579,64.01501721246137
2020-05-01T00:00:00Z,3.7014,4.2838,3.2865,4.131,NaN,NaN,2.5393123378079645,2.9257565095822224,219239587.56000015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.943283261803415,65.41946248219719
2020-06-01T00:00:00Z,4.1278,4.9422,3.6551,4.5626,NaN,NaN,2.8283534324068267,3.2531252076657777,132881761.71000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.05077070290722,66.82396739520053
