time,open,high,low,close,EMA,EMA,EMA,EMA,Volume,Volume MA,EMA,EMA,EMA,EMA,Histogram,MACD,Signal,MF,RSI
2017-08-17T00:00:00Z,301.13,312.18,298,302,NaN,NaN,NaN,NaN,7030.71034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-08-18T00:00:00Z,302,311.79,283.94,293.96,NaN,NaN,NaN,NaN,9537.84646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-08-19T00:00:00Z,293.96,299.9,278,290.91,NaN,NaN,NaN,NaN,2146.19773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-08-20T00:00:00Z,290.91,300.53,282.85,299.1,NaN,NaN,NaN,NaN,2510.13871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-08-21T00:00:00Z,299.1,346.52,294.6,323.29,NaN,NaN,NaN,NaN,5219.44542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-08-22T00:00:00Z,323.29,330.41,144.21,309.8,NaN,NaN,NaN,NaN,7956.35088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-08-23T00:00:00Z,312.25,324.99,309.41,315.74,NaN,NaN,NaN,NaN,8665.72569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-08-24T00:00:00Z,315.74,328.04,314.01,323.42,NaN,NaN,NaN,NaN,6753.27192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-08-25T00:00:00Z,323.42,338.28,323.42,327.24,NaN,NaN,NaN,309.49555555555554,7125.96962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-08-26T00:00:00Z,327.24,335.44,323.41,330.79,NaN,NaN,NaN,313.75444444444446,4877.68521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-08-27T00:00:00Z,332.18,348.13,330.73,348.13,NaN,NaN,NaN,320.62955555555556,4635.43715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-08-28T00:00:00Z,348.11,351,331.95,346,NaN,NaN,NaN,325.7036444444444,4279.1817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-08-29T00:00:00Z,346,377.6,346,374.7,NaN,NaN,321.92923076923074,335.50291555555555,3032.13425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
