time,open,high,low,close,EMA,EMA,EMA,EMA,Volume,Volume MA,EMA,EMA,EMA,EMA,Histogram,MACD,Signal,MF,RSI
2017-08-01T00:00:00Z,301.13,393.71,144.21,384.79,NaN,NaN,NaN,NaN,82650.30772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-09-01T00:00:00Z,384.79,394.39,192,304.36,NaN,NaN,NaN,NaN,167937.12443999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-10-01T00:00:00Z,304.36,354,272.2,304.9,NaN,NaN,NaN,NaN,231137.83696999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-11-01T00:00:00Z,304.89,515,274.73,427.43,NaN,NaN,NaN,NaN,558140.09976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-12-01T00:00:00Z,428.05,864.9,375.01,733.98,NaN,NaN,NaN,NaN,1709588.6961599996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-01-01T00:00:00Z,733.01,1440,716.8,1124.81,NaN,NaN,NaN,NaN,4449875.050670001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-02-01T00:00:00Z,1125.96,1164.99,570.1,853.5,NaN,NaN,NaN,NaN,4762997.524779999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-03-01T00:00:00Z,853.5,879.96,366,393.92,NaN,NaN,NaN,NaN,3233203.16201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-04-01T00:00:00Z,393.93,712.99,356.9,670.78,NaN,NaN,NaN,577.6077777777778,3985711.54088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-05-01T00:00:00Z,670.78,839.99,506.11,577.81,NaN,NaN,NaN,577.6482222222222,4408728.993840001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-06-01T00:00:00Z,577.81,628.81,404.48,454.09,NaN,NaN,NaN,552.9365777777778,3679537.8756799996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
